chromosome	start	end	n_samples	pvalue	adj_pvalue	neg_med	pos_med	ambiguous_med	unique_cpg_pos	labels	med_llr_list	raw_llr_list	raw_pos_list	comment
1	374000	375000	2	0.0005277230509428652	0.0036867172982370344	1	1	0	16	["02_lean_control","03_obese"]	[-2.915,2.09]	[[-3.795,-2.915,-1.43,-1.545,-1.49,-5.035,-6.58],[0.315,-0.315,-2.94,-2.175,2.17,2.09,2.99,4.5,3.63,1.84,5.07,2.155,8.32,0.07,1.08]]	[[374680,374710,374752,374764,374791,374979,375000],[374080,374129,374142,374168,374710,374752,374764,374791,374829,374849,374875,374897,374934,374979,375000]]	Significant pvalue
1	502000	503000	2	0.00012041690009483778	0.0020833926216834095	1	1	0	24	["02_lean_control","03_obese"]	[-3.938,4.505]	[[-3.915,-3.905,-17.91,-24.615,-7.525,1.5,-4.565,-19.695,-15.51,-3.96,0.41,-3.01,1.95,-1.445],[-11.735,1.77,3.165,0.82,-0.27,12.22,-1.4,18.125,2.95,6.8,6.97,3.565,17.13,19.44,27.055,5.445]]	[[502249,502359,502392,502425,502448,502459,502568,502597,502630,502897,502928,502941,502977,502992],[502016,502043,502075,502107,502124,502161,502179,502425,502448,502459,502536,502568,502597,502630,502684,502741]]	Significant pvalue
1	866000	867000	2	0.0001719986240110079	0.0023170466142078154	1	1	0	17	["02_lean_control","03_obese"]	[3.285,-3.532]	[[3.285,0.575,3.135,3.8,5.465],[-5.865,0.015,-0.21,-1.025,-4.225,-19.365,-10.71,-7.93,-2.65,-0.98,-16.8,-1.43,-7.05,-2.84]]	[[866154,866256,866431,866474,866489],[866317,866338,866360,866474,866489,866559,866674,866693,866714,866731,866884,866917,866942,866972]]	Significant pvalue
1	1626000	1627000	2	0.00015366942972786825	0.0022753172753172753	1	1	0	20	["02_lean_control","03_obese"]	[-5.008,5.05]	[[-3.87,-2.555,-2.655,-3.07,-15.25,-4.88,-10.88,-5.135,1.3,-11.26,-9.95,-15.98],[5.365,0.64,0.765,11.115,-2.22,5.05,7.44,6.4,0.945,1.51,8.745]]	[[1626032,1626055,1626078,1626092,1626111,1626134,1626157,1626836,1626855,1626918,1626938,1626969],[1626624,1626645,1626671,1626698,1626726,1626742,1626786,1626808,1626836,1626855,1626918]]	Significant pvalue
1	2045000	2046000	2	0.00013140410772467505	0.0021084659111621374	1	1	0	21	["02_lean_control","03_obese"]	[5.48,-3.415]	[[0.03,0.2,-1.06,6.09,4.69,8.92,6.735,7.24,19.185,5.48,1.475],[2.075,-3.415,-5.245,-4.6,-3.23,-9.585,-3.6,-2.525,-0.04,-6.155,-1.655,-3.77,-1.22]]	[[2045439,2045450,2045475,2045491,2045509,2045525,2045569,2045584,2045609,2045629,2045852],[2045475,2045629,2045648,2045675,2045720,2045823,2045852,2045873,2045924,2045939,2045954,2045975,2045991]]	Significant pvalue
1	2445000	2446000	2	0.00858206121364016	0.016874233180389588	1	1	0	17	["02_lean_control","03_obese"]	[-4.27,3.5]	[[-1.555,-6.33,-9.54,-8.145,-2.23,-3.79,-2.71,-0.21,-0.82,-4.5,-6.62,-4.27,-14.355,-46.24,-8.785,-3.76,-0.07],[3.5,-4.94,9.87,7.825,3.0]]	[[2445158,2445183,2445201,2445213,2445267,2445278,2445317,2445343,2445358,2445383,2445429,2445468,2445798,2445825,2445867,2445883,2445899],[2445343,2445358,2445383,2445429,2445468]]	Non-significant pvalue
1	2495000	2496000	2	0.0011907597046915933	0.0055568786218941025	1	1	0	11	["02_lean_control","03_obese"]	[-3.87,2.82]	[[-4.65,-6.135,-3.13,-5.86,-4.42,2.655,-3.32,1.67],[1.73,1.935,1.545,6.17,4.415,4.19,11.48,1.15,2.55,2.82,2.905]]	[[2495003,2495041,2495344,2495368,2495405,2495469,2495567,2495585],[2495003,2495041,2495344,2495368,2495405,2495469,2495507,2495567,2495585,2495623,2495644]]	Significant pvalue
1	2514000	2515000	2	0.001292824822236587	0.005728860561588104	1	1	0	17	["02_lean_control","03_obese"]	[-3.725,2.15]	[[-3.725,-3.57,-10.34,-3.81,-0.77],[0.205,0.135,7.105,30.355,6.645,8.055,3.14,2.365,1.935,-1.72,-1.365,-0.375]]	[[2514004,2514021,2514058,2514122,2514147],[2514439,2514471,2514552,2514590,2514632,2514647,2514660,2514674,2514704,2514735,2514752,2514956]]	Significant pvalue
1	3133000	3134000	2	0.00043094160741219563	0.00328487810942832	1	1	0	15	["02_lean_control","03_obese"]	[3.302,-7.225]	[[-1.25,-3.16,8.31,3.715,3.98,3.05,5.165,1.14,15.73,-0.48,3.555,0.21],[-1.51,-9.13,-6.185,-2.61,-8.265,-14.275]]	[[3133253,3133270,3133340,3133401,3133443,3133455,3133507,3133537,3133570,3133875,3133903,3133960],[3133037,3133061,3133239,3133253,3133340,3133401]]	Significant pvalue
1	3379000	3380000	2	0.08177117000646413	0.09504449293992208	1	1	0	16	["02_lean_control","03_obese"]	[2.195,-2.82]	[[7.32,2.63,-2.66,-4.08,2.195],[-0.69,-3.055,0.065,2.06,-4.18,-2.93,-1.04,-5.355,-1.11,-4.72,-4.52,-2.71]]	[[3379392,3379721,3379778,3379790,3379819],[3379255,3379292,3379520,3379570,3379607,3379721,3379881,3379901,3379915,3379944,3379960,3379992]]	Non-significant pvalue
1	3840000	3841000	2	0.09523809523809523	0.10757527054537662	1	1	0	7	["02_lean_control","03_obese"]	[-2.95,2.465]	[[-2.35,-7.02,0.17,-2.95,-5.7],[2.465,5.77,5.935,-2.53,-2.9]]	[[3840205,3840269,3840452,3840548,3840966],[3840397,3840414,3840452,3840548,3840966]]	Non-significant pvalue
1	4979000	4980000	2	0.01767676767676768	0.02814506643233422	1	1	0	10	["02_lean_control","03_obese"]	[-2.905,2.635]	[[-4.415,-2.905,-6.75,-2.66,-1.075],[2.635,0.5,-0.17,4.59,3.62,7.065,-4.195]]	[[4979155,4979179,4979306,4979417,4979474],[4979306,4979474,4979579,4979642,4979656,4979709,4979807]]	Non-significant pvalue
1	6580000	6581000	2	0.0007511822006716851	0.004290132404798378	1	1	0	14	["02_lean_control","03_obese"]	[-2.617,2.15]	[[-5.665,-7.74,-1.805,-2.04,-2.085,-3.58,-3.855,-3.06,-2.175,-1.71,-1.76,-1.92,-7.47,-10.44],[6.04,1.57,3.22,2.15,3.93,5.075,0.46,-0.915,-3.735]]	[[6580091,6580114,6580149,6580183,6580220,6580265,6580432,6580473,6580623,6580639,6580672,6580847,6580865,6580881],[6580091,6580114,6580149,6580183,6580220,6580265,6580432,6580473,6580881]]	Significant pvalue
1	6598000	6599000	2	0.031746031746031744	0.0436616655794738	1	1	0	10	["02_lean_control","03_obese"]	[-2.78,2.46]	[[-1.75,-3.435,1.39,-2.78,-5.455],[0.345,2.46,3.945,2.545,1.055]]	[[6598483,6598503,6598625,6598964,6598992],[6598014,6598043,6598700,6598733,6598752]]	Non-significant pvalue
1	6737000	6738000	2	0.030303030303030304	0.04237359669114544	1	1	0	7	["02_lean_control","03_obese"]	[-2.88,2.4]	[[0.695,-6.38,-2.88,-1.82,-0.34,-3.97,-3.7],[0.98,4.04,6.765,2.4,-3.375]]	[[6737622,6737678,6737697,6737710,6737788,6737807,6737938],[6737622,6737678,6737697,6737710,6737938]]	Non-significant pvalue
1	6885000	6886000	2	0.014544279250161603	0.025189057311516945	1	1	0	14	["02_lean_control","03_obese"]	[-2.23,2.07]	[[-5.005,-10.225,-4.655,-2.23,-1.27,-6.765,-1.76,-1.38,-0.385,-10.895,1.905],[2.31,-0.98,1.83,3.82,-3.63,2.77]]	[[6885167,6885185,6885212,6885250,6885317,6885336,6885401,6885505,6885686,6885783,6885811],[6885002,6885076,6885104,6885317,6885336,6885401]]	Non-significant pvalue
1	6956000	6957000	2	0.055624355005159956	0.06812965614783273	1	1	0	15	["02_lean_control","03_obese"]	[-3.728,2.845]	[[-4.63,-11.43,-10.045,-1.49,0.96,-4.59,-7.67,-3.095,-3.045,-0.5,-2.835,-5.105,-4.36,-2.17],[3.06,3.62,-6.49,-1.86,-4.6,2.845,3.23]]	[[6956000,6956016,6956057,6956141,6956243,6956287,6956300,6956519,6956585,6956604,6956740,6956754,6956840,6956857],[6956141,6956519,6956678,6956740,6956754,6956840,6956857]]	Non-significant pvalue
