rank	chromosome	start	end	pvalue	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
#1	7	24050000	24051000	0.0001369211533397	14	ensssct00000057580	skiv2l-203	protein_coding	-2913
#2	11	78691000	78692000	0.0001369211533397	0	-	-	-	-
#3	2	151752000	151753000	0.0001369211533397	0	-	-	-	-
#4	7	120967000	120968000	0.0002501619106287	1	ensssct00000071170	-	protein_coding	-4326
#5	9	1183000	1184000	0.0002501619106287	0	-	-	-	-
#6	7	1608000	1609000	0.0004390525457106	0	-	-	-	-
#7	6	166748000	166749000	0.0008907356733443	0	-	-	-	-
#8	9	40560000	40561000	0.0008907356733443	0	-	-	-	-
#9	9	135008000	135009000	0.0012906015328952	5	ensssct00000069096	-	lncrna	3288
#10	9	6950000	6951000	0.0012906015328952	0	-	-	-	-
#11	12	174000	175000	0.001399727486684	0	-	-	-	-
#12	13	207469000	207470000	0.001399727486684	1	ensssct00000030347	ube2g2-201	protein_coding	1796
#13	14	140596000	140597000	0.0016716362711786	3	ensssct00000076298	lrrc27-201	protein_coding	2384
#14	6	59785000	59786000	0.0016716362711786	1	ensssct00000045529	epn1-201	protein_coding	3946
#15	11	1155000	1156000	0.0016842562234902	0	-	-	-	-
#16	7	5215000	5216000	0.0017154487510999	0	-	-	-	-
#17	6	4552000	4553000	0.0017154487510999	0	-	-	-	-
#18	X	6950000	6951000	0.0017154487510999	0	-	-	-	-
#19	1	273776000	273777000	0.0019528838984599	1	ensssct00000052285	rxra-206	protein_coding	-5442
#20	5	2983000	2984000	0.002591231049729	4	ensssct00000066405	celsr1-204	protein_coding	-2931
#21	6	170197000	170198000	0.002591231049729	2	ensssct00000061035	slfnl1-202	protein_coding	-2292
#22	2	370000	371000	0.002591231049729	2	ensssct00000014049	irf7-202	protein_coding	4377
#23	5	2739000	2740000	0.002591231049729	0	-	-	-	-
#24	2	2584000	2585000	0.002591231049729	0	-	-	-	-
#25	X	122903000	122904000	0.002591231049729	1	ensssct00000075901	-	lncrna	-7992
#26	AEMK02000452.1	1054000	1055000	0.002591231049729	0	-	-	-	-
#27	10	24348000	24349000	0.002591231049729	3	ensssct00000042636	-	protein_coding	-9435
#28	AEMK02000452.1	3191000	3192000	0.002591231049729	2	ensssct00000002844	cdca4-202	protein_coding	2408
#29	8	133711000	133712000	0.002591231049729	0	-	-	-	-
#30	6	61161000	61162000	0.002591231049729	1	ensssct00000042162	-	protein_coding	2969
#31	9	46291000	46292000	0.002591231049729	6	ensssct00000016473	vps11-201	protein_coding	-5271
#32	AEMK02000452.1	3042000	3043000	0.002591231049729	2	ensssct00000050885	-	protein_coding	5401
